"M52/language","keyword.match.theme/chinese-culture-and-people","keyword.match.theme/covid-19","keyword.match.theme/economy","keyword.match.theme/environment","keyword.match.theme/geopolitics","keyword.match.theme/human-rights","keyword.match.theme/military-and-security","keyword.match.theme/politics-and-society","keyword.match.theme/technology"
"ar","true","false","true","false","true","true","false","false","false"
"ar","false","false","true","false","true","false","false","false","false"
"ar","false","false","true","false","true","false","false","false","false"
"ar","false","false","false","false","false","true","false","true","false"
"ar","false","true","true","false","true","true","false","true","false"
"ar","false","false","true","true","false","false","false","true","false"
"ar","false","false","false","false","true","false","false","true","false"
"ar","false","true","false","false","true","false","true","true","false"
"ar","false","true","true","false","true","false","false","true","false"
"ar","true","true","true","false","false","false","false","true","false"
"ar","false","false","false","false","false","true","true","true","false"
"ar","false","false","true","false","true","true","false","true","false"
"ar","false","true","true","false","true","true","false","true","true"
"ar","true","false","false","false","true","true","true","true","false"
"ar","false","false","false","false","false","false","false","false","false"
"ar","false","true","true","false","true","false","false","true","true"
"ar","false","false","true","false","true","true","true","false","false"
"ar","false","false","false","false","true","false","false","true","true"
"ar","true","false","true","false","true","true","true","true","false"
"ar","false","false","false","false","false","false","false","false","false"
"ar","true","false","true","false","true","true","false","true","false"
"ar","false","false","false","false","false","false","false","false","false"
"ar","false","true","false","false","false","false","false","true","false"
"ar","false","false","false","false","true","false","false","false","false"
"ar","false","false","true","false","false","false","false","false","false"
"ar","false","false","true","false","true","false","false","true","false"
"ar","false","false","true","false","false","true","true","true","false"
"ar","false","false","true","false","true","false","false","true","false"
"ar","false","false","true","false","true","false","false","true","true"
"ar","false","false","true","false","true","false","false","true","false"
"ar","false","false","false","false","false","false","false","false","false"
"ar","false","false","true","false","false","false","true","false","true"
"ar","false","false","false","false","true","false","false","true","true"
"ar","false","false","false","false","true","false","false","true","false"
"ar","true","false","true","true","false","false","false","false","false"
"ar","true","false","false","false","false","false","false","false","false"
"ar","false","true","false","false","false","false","false","true","false"
"ar","true","false","true","false","true","false","false","true","true"
"ar","true","false","false","false","false","false","false","false","false"
"ar","false","false","false","false","false","false","false","false","false"
"ar","false","false","false","false","true","false","false","true","true"
"ar","true","false","true","false","true","true","false","true","false"
"ar","false","false","true","true","true","false","false","false","false"
"ar","true","false","false","false","true","false","false","true","false"
"ar","false","true","false","false","true","false","false","true","false"
"ar","false","true","true","false","true","false","true","true","false"
"ar","false","false","true","false","true","true","false","true","false"
"ar","false","true","true","false","true","true","false","true","false"
"ar","true","false","false","false","true","true","false","true","false"
"ar","false","false","true","false","false","false","false","false","false"
"ar","false","true","false","false","true","true","false","true","false"
"ar","false","false","false","false","false","false","false","false","true"
"ar","false","false","false","false","false","false","false","false","false"
"ar","false","false","false","false","false","false","false","true","false"
"ar","true","false","true","true","true","true","true","true","false"
"ar","false","false","false","false","false","false","false","false","false"
"ar","false","false","true","false","false","false","true","true","true"
"ar","true","false","true","false","true","true","true","true","false"
"ar","false","false","false","false","true","false","false","true","true"
"ar","true","false","true","false","true","true","true","true","false"
"ar","false","false","false","false","false","false","true","true","false"
"ar","false","true","true","false","true","true","true","true","false"
"ar","false","true","false","false","true","false","false","true","false"
"ar","false","false","false","false","false","false","false","false","false"
"ar","false","true","false","false","true","false","false","false","false"
"ar","false","false","false","false","false","false","false","false","false"
"ar","false","true","false","false","false","false","false","false","false"
"ar","false","false","false","false","false","false","false","false","false"
"ar","false","false","false","false","false","false","false","false","false"
"ar","false","false","false","false","false","false","false","true","false"
"ar","false","false","true","false","true","false","false","true","true"
"ar","true","false","false","false","true","true","false","true","false"
"ar","false","true","true","false","false","false","false","false","true"
"ar","false","false","true","false","true","false","false","false","false"
"ar","false","false","true","false","false","false","false","true","false"
"ar","true","false","true","false","true","false","false","true","true"
"ar","false","false","true","false","false","false","false","true","false"
"ar","false","true","true","false","true","false","false","true","true"
"ar","false","false","false","false","false","false","false","false","false"
"ar","false","false","false","false","true","false","false","true","false"
"ar","false","false","true","true","true","true","false","false","false"
"ar","false","true","true","false","true","false","false","true","false"
"ar","false","true","true","false","true","false","false","true","false"
"ar","false","false","true","false","true","true","false","false","false"
"ar","false","true","true","false","true","false","false","false","false"
"ar","true","false","false","false","false","true","false","true","false"
"ar","true","false","false","false","true","true","true","true","false"
"ar","false","false","true","false","true","false","false","true","true"
"ar","true","false","true","true","true","true","false","true","false"
"ar","false","false","true","false","true","true","false","false","false"
"ar","true","false","false","false","true","true","true","true","false"
"ar","false","false","true","true","false","false","false","false","false"
"ar","false","true","true","false","true","false","false","false","false"
"ar","true","false","true","false","true","true","true","true","false"
"ar","false","false","false","false","false","false","false","true","false"
"ar","false","true","false","false","true","false","false","true","false"
"ar","false","false","true","true","false","false","false","true","true"
"ar","false","true","true","false","true","true","false","true","false"
"ar","false","false","false","false","true","true","true","true","false"
"ar","false","false","true","false","true","true","false","true","false"
"ar","false","false","true","false","true","false","true","true","false"
"ar","false","false","false","false","true","true","false","true","false"
"ar","false","false","false","false","true","false","true","true","false"
"ar","false","true","false","false","true","true","false","true","false"
"ar","false","false","false","false","true","false","false","false","false"
"ar","false","false","false","false","false","true","false","true","false"
"ar","false","true","true","false","true","true","true","true","false"
"ar","false","false","false","false","true","false","false","false","false"
"ar","true","false","true","true","true","true","false","true","false"
"ar","false","true","false","false","true","true","false","true","false"
"ar","true","false","false","false","false","true","false","true","false"
"ar","false","false","false","true","true","false","false","false","false"
"ar","false","true","false","false","true","true","true","true","false"
"ar","true","false","true","false","true","true","false","true","false"
"ar","true","true","true","false","true","true","true","true","false"
"ar","false","false","false","false","false","false","false","false","false"
"ar","false","false","false","false","false","false","false","false","false"
"ar","true","false","false","false","true","true","false","false","false"
"ar","false","false","false","false","false","false","false","false","false"
"ar","true","false","false","false","false","true","false","true","false"
"ar","false","true","true","false","true","true","false","true","false"
"ar","false","false","false","false","false","false","false","false","false"
"ar","true","false","false","false","false","true","false","true","false"
"ar","true","false","false","false","false","true","false","true","false"
"ar","false","false","false","false","false","true","false","true","false"
"ar","false","false","false","false","false","false","false","false","false"
"ar","false","false","true","false","false","false","false","false","false"
"ar","false","false","false","false","true","true","false","true","false"
"ar","true","false","true","false","true","false","false","true","false"
"ar","false","false","false","false","true","false","false","true","false"
"ar","false","false","true","false","false","false","false","false","false"
"ar","false","false","false","false","true","false","false","false","false"
"ar","false","false","false","false","false","false","false","false","false"
"ar","false","true","true","false","true","true","false","true","false"
"ar","true","false","true","false","true","true","false","true","false"
"ar","false","false","false","false","false","false","false","false","false"
"ar","false","false","false","false","true","false","false","false","false"
"ar","false","true","true","false","true","true","false","true","false"
"ar","true","false","true","false","true","false","false","true","false"
"ar","false","false","false","false","true","false","false","true","true"
"ar","false","true","true","false","true","false","true","true","false"
"ar","false","false","true","false","true","false","false","true","true"
"ar","false","true","true","false","false","false","false","true","false"
"ar","false","false","false","false","false","false","false","false","false"
"ar","true","false","true","true","true","false","false","false","false"
"ar","true","false","false","false","true","true","false","true","false"
"ar","true","false","false","false","false","false","true","true","false"
"ar","false","false","true","false","false","false","false","false","false"
"ar","true","true","true","true","false","false","false","true","true"
"ar","false","false","false","false","true","false","false","true","false"
"ar","false","false","false","false","false","false","false","false","false"
"ar","false","false","true","true","true","true","false","true","true"
"ar","true","false","false","false","true","false","false","false","false"
"ar","true","false","false","false","true","false","false","true","false"
"ar","false","false","true","false","true","false","true","true","false"
"ar","true","true","true","false","true","true","true","true","false"
"ar","false","false","false","false","true","true","true","true","false"
"ar","true","false","true","false","true","true","false","true","false"
"ar","false","false","false","false","false","true","false","true","false"
"ar","true","true","true","true","true","true","true","true","false"
"ar","true","true","true","false","true","true","false","true","true"
"ar","false","false","false","false","false","false","true","false","false"
"ar","true","false","false","false","false","true","false","true","false"
"ar","false","true","false","false","true","false","false","false","false"
"ar","false","false","true","false","false","false","false","false","false"
"ar","true","true","true","false","true","false","false","true","false"
"ar","true","false","true","false","false","true","false","true","false"
"ar","true","false","false","false","false","true","false","true","false"
"ar","false","false","true","false","false","false","false","false","false"
"ar","false","false","false","true","false","false","false","true","false"
"ar","true","false","false","false","false","false","true","true","false"
"ar","false","true","false","false","false","false","false","true","false"
"ar","false","false","true","true","true","false","false","true","false"
"ar","false","false","false","false","false","false","false","true","false"
"ar","false","true","false","false","true","false","false","false","false"
"ar","false","false","false","false","true","false","false","true","false"
"ar","false","true","false","false","false","false","false","false","false"
"ar","true","false","true","false","true","true","false","true","false"
"ar","true","false","false","true","true","true","false","true","false"
"ar","true","true","false","false","true","false","false","true","false"
"ar","true","true","false","false","true","false","false","true","false"
"ar","false","false","false","false","false","false","false","false","false"
"ar","true","false","false","false","true","false","false","true","false"
"ar","true","false","true","false","true","true","false","true","false"
"ar","true","false","true","false","true","false","false","true","false"
"ar","true","true","true","false","true","false","false","true","false"
"ar","false","true","false","false","true","false","false","false","false"
"ar","false","true","false","false","true","false","false","true","false"
"ar","false","false","false","false","false","false","false","false","false"
"ar","false","false","true","false","false","false","true","true","false"
"ar","false","false","true","false","true","false","false","false","false"
"ar","true","false","false","false","true","true","false","true","false"
"ar","false","false","false","false","false","false","false","false","false"
"ar","false","false","true","false","false","false","false","true","false"
"ar","true","true","true","false","true","false","false","true","false"
"ar","false","false","true","false","true","false","false","false","false"
"ar","false","false","false","false","true","true","false","true","false"
"ar","false","true","true","false","true","false","false","false","false"
"ar","false","false","false","false","false","true","false","true","false"
"ar","false","true","true","false","true","false","false","true","false"
"ar","true","true","true","false","true","false","false","true","false"
"ar","false","true","true","false","true","false","false","true","false"
"ar","true","false","true","false","true","true","true","true","false"
"ar","false","true","true","false","true","false","false","false","false"
"ar","true","false","false","false","true","true","true","true","false"
"ar","false","false","true","true","false","false","false","true","false"
"ar","false","false","false","false","true","false","false","false","false"
"ar","true","false","true","true","true","true","true","true","false"
"ar","true","false","false","false","false","false","false","false","false"
"ar","true","false","true","false","false","false","false","false","false"
"ar","false","false","false","false","true","true","false","true","false"
"ar","true","false","true","false","true","true","false","true","false"
"ar","false","false","true","true","true","false","false","false","false"
"ar","false","true","false","false","true","true","false","true","false"
"ar","false","false","false","false","false","false","false","false","false"
"ar","true","false","false","false","true","true","true","true","false"
"ar","false","false","false","false","true","false","false","false","false"
"ar","false","true","false","false","true","true","false","true","false"
"ar","false","false","false","false","false","false","false","false","true"
"ar","false","false","false","false","true","false","false","true","false"
"ar","true","false","true","false","true","true","false","true","false"
"ar","false","false","false","true","true","true","false","true","false"
"ar","false","false","false","false","false","false","false","true","false"
"ar","false","false","false","false","true","false","false","true","true"
"ar","true","false","true","false","true","true","false","true","false"
"ar","false","false","true","false","false","false","false","false","false"
"ar","false","true","false","false","true","false","false","false","false"
"ar","true","true","true","true","true","false","false","true","false"
"ar","true","false","false","true","false","false","false","false","false"
"ar","true","true","true","true","true","true","true","true","false"
"ar","true","true","true","false","true","true","false","true","false"
"ar","true","true","true","false","true","true","true","true","false"
"ar","false","false","true","false","true","false","true","true","false"
"ar","true","false","false","false","true","true","true","true","false"
"ar","true","false","true","false","true","false","false","true","false"
"ar","true","false","false","false","true","true","false","true","false"
"ar","false","false","false","false","true","false","true","false","false"
"ar","true","false","false","false","true","true","false","true","false"
"ar","false","false","false","false","true","false","false","false","false"
"ar","false","true","true","false","false","false","false","false","false"
"ar","false","false","false","false","true","true","false","true","false"
"ar","false","false","false","false","true","false","false","true","false"
"ar","true","false","true","true","true","true","true","true","false"
"ar","true","false","false","false","true","true","true","true","false"
"ar","true","true","true","false","true","true","true","true","false"
"ar","true","false","true","false","true","true","false","true","false"
"ar","true","false","false","false","true","false","false","true","false"
"ar","false","false","false","true","false","false","false","true","false"
"ar","false","false","false","false","true","false","false","true","false"
"ar","false","true","true","false","true","false","false","true","false"
"ar","true","false","false","false","true","true","false","true","false"
"ar","true","false","true","true","true","true","true","true","false"
"ar","true","false","false","true","false","false","false","false","false"
"ar","false","false","false","true","false","false","false","false","false"
"ar","false","false","true","true","false","false","false","true","false"
"ar","false","false","false","false","true","false","false","false","false"
"ar","false","true","false","false","true","false","false","true","false"
"ar","false","true","false","true","true","false","false","true","false"
"ar","true","false","true","false","true","true","false","true","false"
"ar","false","false","false","false","true","false","false","true","true"
"ar","false","true","false","false","false","false","false","true","false"
"ar","false","true","true","false","true","false","false","true","true"
"ar","false","false","false","false","false","false","false","true","false"
"ar","false","false","false","false","true","false","false","false","false"
"ar","false","false","true","false","true","true","false","true","false"
"ar","false","false","false","false","true","false","false","false","false"
"ar","false","false","false","false","false","false","false","false","false"
"ar","true","false","true","false","true","true","false","true","false"
"ar","true","true","false","false","true","true","false","true","false"
"ar","false","false","false","false","false","false","true","true","false"
"ar","false","false","true","false","true","false","true","true","false"
"ar","false","false","true","false","true","false","false","false","false"
"ar","false","false","false","true","false","false","false","false","false"
"ar","false","false","true","false","true","true","false","true","false"
"ar","false","false","true","false","true","false","false","false","false"
"ar","false","false","false","false","false","false","false","false","false"
"ar","false","false","false","false","false","true","false","true","true"
"ar","false","true","false","false","true","true","false","true","false"
"ar","true","false","false","false","true","true","false","false","false"
"ar","false","false","false","false","true","false","false","false","false"
"ar","false","false","false","false","false","false","false","false","false"
"ar","false","false","false","false","true","false","false","true","false"
"ar","false","false","true","true","true","false","false","true","false"
"ar","false","false","true","false","true","false","false","false","false"
"ar","false","false","false","false","false","false","false","true","false"
"ar","false","false","true","false","true","true","true","true","false"
"ar","false","false","false","false","true","true","false","true","true"
"ar","true","false","true","false","true","true","true","true","false"
"ar","false","false","false","true","true","false","false","true","false"
"ar","false","false","true","false","true","false","false","true","false"
"ar","false","true","false","false","true","false","false","false","false"
"ar","false","false","true","false","false","false","false","true","true"
"ar","false","true","false","false","true","false","false","false","false"
"ar","true","true","true","true","true","true","true","true","true"
"ar","false","false","true","true","true","true","false","false","false"
"ar","false","false","true","false","true","true","false","true","false"
"ar","false","true","false","false","true","false","false","true","true"
"ar","false","false","true","false","false","false","false","false","false"
"ar","true","false","true","false","true","true","false","true","true"
"ar","false","true","true","false","true","false","false","true","true"
"ar","false","false","false","false","false","false","false","false","false"
"ar","false","false","false","false","true","true","false","true","false"
"ar","false","true","true","false","true","false","true","true","false"
"ar","true","false","false","false","true","true","false","true","false"
"ar","true","false","true","false","false","false","false","false","false"
"ar","true","false","false","false","false","false","false","false","false"
"ar","false","false","false","false","false","false","false","false","false"
"ar","true","false","true","false","true","true","false","true","false"
"ar","true","false","true","false","true","true","false","true","true"
"ar","false","false","true","false","false","false","false","true","true"
"ar","false","false","false","false","true","false","false","false","false"
"ar","true","false","false","false","true","true","true","true","false"
"ar","false","false","false","false","true","false","true","false","false"
"ar","false","false","true","false","false","false","false","false","false"
"ar","false","true","false","false","false","false","false","false","false"
"ar","false","false","false","false","true","false","false","true","false"
"ar","false","false","true","false","true","false","false","true","false"
"ar","false","true","true","false","true","false","true","true","true"
"ar","true","false","true","false","true","true","false","true","false"
"ar","false","false","true","true","true","false","false","false","false"
"ar","false","false","true","false","false","false","false","true","true"
"ar","false","false","false","false","true","false","true","true","false"
"ar","false","false","false","false","false","false","false","false","false"
"ar","true","false","true","true","true","true","false","true","false"
"ar","false","false","false","true","false","false","false","false","false"
"ar","false","false","true","false","true","false","false","true","false"
"ar","false","false","true","false","false","false","false","true","false"
"ar","false","true","false","false","false","false","false","false","false"
"ar","true","false","false","false","true","true","false","true","false"
"ar","false","false","true","false","true","true","true","true","false"
"ar","false","false","true","false","true","false","false","true","true"
"ar","false","true","true","false","true","false","false","true","true"
"ar","true","false","false","false","true","true","false","true","false"
"ar","false","true","true","false","true","false","true","true","false"
"ar","false","false","true","false","true","false","false","false","false"
"ar","false","false","true","true","true","false","false","true","false"
"ar","false","true","true","false","true","true","true","true","false"
"ar","false","true","false","false","true","false","false","true","false"
"ar","false","false","false","false","false","false","false","true","true"
"ar","false","true","true","false","true","false","false","true","false"
"ar","true","true","true","false","true","true","false","true","true"
"ar","true","false","true","false","true","true","false","true","false"
"ar","false","false","false","false","true","true","false","true","false"
"ar","true","false","false","true","true","true","false","true","false"
"ar","true","false","true","false","true","true","true","true","false"
"ar","true","true","true","false","true","true","false","true","false"
"ar","false","false","true","false","true","true","true","true","false"
"ar","false","false","true","false","true","false","false","true","true"
"ar","false","false","false","false","true","true","true","true","false"
"ar","false","true","true","false","true","true","true","true","false"
"ar","false","true","false","false","true","false","false","true","false"
"ar","false","true","false","false","false","false","false","false","false"
"ar","true","false","false","false","true","true","false","true","false"
"ar","false","true","false","false","false","false","false","false","false"
"ar","false","true","true","false","true","false","true","true","false"
"ar","false","true","false","false","false","false","false","false","false"
"ar","false","true","true","false","true","false","true","true","false"
"ar","false","false","true","false","true","false","false","false","false"
"ar","false","true","true","false","true","false","true","true","true"
"ar","false","false","false","false","true","true","false","true","false"
"ar","true","false","false","false","true","false","false","true","false"
"ar","false","false","false","false","false","false","false","false","false"
"ar","false","false","false","true","false","false","false","false","false"
"ar","false","false","false","false","false","true","false","true","true"
"ar","false","false","false","false","false","false","false","false","false"
"ar","false","false","false","false","true","false","true","true","false"
"ar","false","false","true","false","false","false","false","true","false"
"ar","false","false","true","false","false","false","false","true","false"
"ar","true","false","true","true","true","false","false","true","false"
"ar","true","false","true","true","true","false","false","true","false"
"ar","false","false","true","false","false","false","false","false","false"
"ar","false","false","false","false","true","true","false","false","false"
"ar","true","false","false","false","true","true","false","true","false"
"ar","false","true","false","false","true","false","false","true","false"
"ar","false","false","false","false","true","false","false","false","false"
"ar","false","false","false","false","true","false","false","false","false"
"ar","false","false","true","true","false","false","false","false","false"
"ar","false","true","true","false","true","false","false","true","false"
"ar","false","true","true","false","true","false","false","true","false"
"ar","false","true","true","false","true","true","false","true","false"
"ar","false","true","true","false","true","true","false","true","false"
"ar","false","true","true","false","true","false","false","true","false"
"ar","false","false","false","false","false","false","false","false","false"
"ar","false","false","false","false","true","true","false","true","false"
"ar","false","false","false","false","false","false","false","false","false"
"ar","false","true","true","false","true","true","true","true","false"
"ar","false","false","false","false","false","true","false","true","false"
"ar","false","false","true","false","false","false","false","true","false"
"ar","false","false","false","false","true","false","false","true","false"
"ar","false","false","false","false","true","true","false","true","false"
"ar","false","false","false","false","true","true","false","true","false"
"ar","true","false","false","false","true","true","false","true","false"
"ar","false","false","false","false","true","false","false","true","false"
"ar","false","false","false","false","false","false","false","true","false"
"ar","false","true","true","false","false","false","false","false","false"
"ar","false","true","true","false","true","false","false","false","false"
"ar","false","false","false","false","false","false","false","false","false"
"ar","true","false","false","false","true","true","true","true","false"
"ar","true","false","true","false","true","true","false","true","false"
"ar","false","true","false","false","true","false","false","true","false"
"ar","false","true","true","false","true","false","true","false","false"
"ar","true","false","false","false","true","true","true","true","false"
"ar","true","false","true","false","true","true","false","true","false"
"ar","true","false","true","false","true","true","false","true","false"
"ar","false","false","false","false","true","false","false","false","false"
"ar","true","true","true","true","true","false","false","true","false"
"ar","false","false","false","false","true","false","false","false","false"
"ar","false","true","true","false","true","false","false","true","false"
"ar","false","false","true","false","true","false","false","true","false"
"ar","false","false","false","false","true","false","false","true","false"
"ar","false","false","true","false","false","false","false","false","false"
"ar","true","true","true","false","true","true","true","true","false"
"ar","false","false","false","false","true","false","false","true","false"
"ar","false","true","false","false","true","false","false","true","false"
"ar","false","true","false","false","true","false","false","false","false"
"ar","true","false","false","false","true","true","false","true","false"
"ar","true","false","false","false","true","false","false","true","false"
"ar","false","false","true","false","true","false","false","false","false"
"ar","true","true","true","false","true","true","true","true","false"
"ar","false","false","true","false","true","false","false","false","false"
"ar","false","false","false","false","false","false","false","false","false"
"ar","false","true","false","false","true","true","false","true","false"
"ar","true","true","true","true","true","false","true","true","true"
"ar","false","false","true","false","false","false","false","false","false"
"ar","true","false","false","false","false","false","false","false","false"
"ar","false","false","true","false","false","false","false","true","false"
"ar","true","false","true","false","true","true","false","true","false"
"ar","false","false","false","false","false","false","false","false","false"
"ar","false","true","false","false","false","false","false","true","false"
"ar","false","false","true","false","true","false","true","true","false"
"ar","false","false","false","false","false","false","false","false","false"
"ar","true","false","true","false","true","true","false","true","false"
"ar","false","false","true","true","false","false","false","false","false"
"ar","false","true","true","false","true","false","false","true","true"
"ar","true","false","true","false","true","true","false","true","false"
"ar","true","false","true","true","true","true","true","true","false"
"ar","false","true","true","false","true","true","true","true","true"
"ar","false","true","false","false","true","false","false","false","false"
"ar","false","false","false","false","true","false","false","true","false"
"ar","false","false","false","false","false","true","false","true","false"
"ar","false","false","false","false","true","false","false","true","false"
"ar","false","false","false","false","true","false","false","false","false"
"ar","false","false","false","false","true","false","false","true","false"
"ar","true","true","true","false","true","true","false","true","false"
"ar","true","false","true","true","true","true","true","true","false"
"ar","false","false","true","true","false","false","false","false","false"
"ar","true","false","false","false","false","false","false","false","false"
"ar","false","false","false","false","true","false","false","false","false"
"ar","false","false","false","false","false","false","false","false","false"
"ar","true","false","true","false","true","true","false","true","false"
"ar","false","false","false","false","false","false","false","false","false"
"ar","false","false","false","false","true","false","false","true","false"
"ar","false","false","false","false","false","false","false","false","false"
"ar","false","false","true","false","false","false","true","false","false"
"ar","false","false","true","true","false","false","false","true","false"
"ar","true","false","false","false","true","true","false","true","false"
"ar","false","false","false","false","true","false","false","true","false"
"ar","false","false","true","false","true","true","true","true","false"
"ar","false","false","true","true","true","false","false","false","true"
"ar","false","true","true","false","true","true","true","true","true"
"ar","false","true","true","false","true","false","false","true","true"
"ar","false","true","true","false","true","false","false","true","false"
"ar","true","true","true","false","true","true","true","true","false"
